"","season","athlete_id"
"287","2011",2754
"288","2011",2760
"289","2011",2778
"290","2011",3012
"291","2011",3202
"292","2011",3204
"293","2011",3412
"294","2011",3415
"295","2011",3416
"296","2011",3456
"297","2011",3975
"298","2011",3979
"299","2011",4003
"300","2011",4032
"301","2012",110
"302","2012",308
"303","2012",385
"304","2012",662
"305","2012",841
"306","2012",1006
"307","2012",1007
"308","2012",1018
"309","2012",2011
"310","2012",2423
"311","2012",2760
"312","2012",2798
"313","2012",3003
"314","2012",3018
"315","2012",3024
"316","2012",3190
"317","2012",3202
"318","2012",3243
"319","2012",3412
"320","2012",3416
"321","2012",3449
"322","2012",3450
"323","2012",3474
"324","2012",3992
"325","2012",3997
"326","2012",4017
"327","2012",4032
"328","2012",4243
"329","2012",6448
"330","2012",6475
"331","2013",25
"332","2013",110
"333","2013",136
"334","2013",165
"335","2013",662
"336","2013",1007
"337","2013",1975
"338","2013",1999
"339","2013",2011
"340","2013",2394
"341","2013",2423
"342","2013",2439
"343","2013",2444
"344","2013",2798
"345","2013",3003
"346","2013",3024
"347","2013",3412
"348","2013",3416
"349","2013",3428
"350","2013",3438
"351","2013",3975
"352","2013",3988
"353","2013",3992
"354","2013",3997
"355","2013",4017
"356","2013",4032
"357","2013",4251
"358","2013",6466
"359","2013",6475
"360","2013",6606
"361","2014",136
"362","2014",165
"363","2014",1007
"364","2014",1975
"365","2014",2011
"366","2014",2426
"367","2014",2439
"368","2014",2444
"369","2014",2754
"370","2014",2761
"371","2014",2795
"372","2014",2806
"373","2014",3003
"374","2014",3012
"375","2014",3202
"376","2014",3209
"377","2014",3416
"378","2014",3449
"379","2014",3975
"380","2014",3992
"381","2014",3997
"382","2014",4003
"383","2014",4032
"384","2014",4251
"385","2014",6466
"386","2014",6472
"387","2014",6475
"388","2014",6606
"389","2014",6619
"390","2014",2528210
"391","2015",165
"392","2015",1765
"393","2015",2011
"394","2015",2178
"395","2015",2426
"396","2015",2444
"397","2015",2761
"398","2015",2778
"399","2015",2779
"400","2015",2799
"401","2015",3012
"402","2015",3024
"403","2015",3194
"404","2015",3412
"405","2015",3449
"406","2015",3975
"407","2015",3988
"408","2015",3992
"409","2015",4032
"410","2015",4240
"411","2015",4291
"412","2015",6442
"413","2015",6475
"414","2015",6606
"415","2015",6619
"416","2015",2490620
"417","2015",2528210
"418","2015",2578213
"419","2015",2579260
"420","2015",2581018
"421","2016",110
"422","2016",1765
"423","2016",2011
"424","2016",2426
"425","2016",2444
"426","2016",2778
"427","2016",2797
"428","2016",3012
"429","2016",3024
"430","2016",3202
"431","2016",3416
"432","2016",3449
"433","2016",3975
"434","2016",3992
"435","2016",4032
"436","2016",4240
"437","2016",4249
"438","2016",4251
"439","2016",4385
"440","2016",6472
"441","2016",6475
"442","2016",6479
"443","2016",6588
"444","2016",6606
"445","2016",6634
"446","2016",2490149
"447","2016",2490589
"448","2016",2490620
"449","2016",2581177
"450","2016",3136776
"451","2017",1975
"452","2017",2426
"453","2017",2767
"454","2017",2778
"455","2017",2799
"456","2017",3012
"457","2017",3024
"458","2017",3195
"459","2017",3243
"460","2017",3412
"461","2017",3416
"462","2017",3431
"463","2017",3468
"464","2017",3975
"465","2017",3981
"466","2017",3992
"467","2017",4032
"468","2017",4251
"469","2017",6442
"470","2017",6472
"471","2017",6475
"472","2017",6479
"473","2017",6580
"474","2017",6581
"475","2017",6606
"476","2017",2490149
"477","2017",2490620
"478","2017",2528210
"479","2017",2581018
"480","2017",3136193
"481","2018",1975
"482","2018",2426
"483","2018",2778
"484","2018",2799
"485","2018",3012
"486","2018",3024
"487","2018",3431
"488","2018",3975
"489","2018",3981
"490","2018",3992
"491","2018",4251
"492","2018",6440
"493","2018",6475
"494","2018",6479
"495","2018",6579
"496","2018",6580
"497","2018",6606
"498","2018",2284101
"499","2018",2489530
"500","2018",2490149
"501","2018",2490620
"502","2018",2527963
"503","2018",2531210
"504","2018",2580782
"505","2018",2581018
"506","2018",2968436
"507","2018",2990962
"508","2018",3134907
"509","2018",3908809
"510","2018",3936299
"511","2019",2761
"512","2019",3012
"513","2019",3024
"514","2019",3431
"515","2019",3448
"516","2019",3975
"517","2019",3989
"518","2019",3992
"519","2019",4251
"520","2019",6443
"521","2019",6475
"522","2019",6479
"523","2019",6578
"524","2019",6580
"525","2019",6581
"526","2019",6588
"527","2019",6606
"528","2019",6609
"529","2019",6619
"530","2019",2284101
"531","2019",2490149
"532","2019",2528210
"533","2019",2528426
"534","2019",2581190
"535","2019",2968436
"536","2019",2990984
"537","2019",3136776
"538","2019",3908809
"539","2019",3945274
"540","2019",4277905
"541","2020",1966
"542","2020",3012
"543","2020",3428
"544","2020",3593
"545","2020",3992
"546","2020",6426
"547","2020",6479
"548","2020",6580
"549","2020",6588
"550","2020",6606
"551","2020",6619
"552","2020",2490149
"553","2020",2490620
"554","2020",2528210
"555","2020",2528426
"556","2020",2528794
"557","2020",2578213
"558","2020",2990962
"559","2020",2990984
"560","2020",3037789
"561","2020",3064440
"562","2020",3074752
"563","2020",3133601
"564","2020",3136776
"565","2020",3155526
"566","2020",3157465
"567","2020",3908809
"568","2020",3945274
"569","2020",4065648
"570","2020",4277905
"571","2021",3593
"572","2021",3975
"573","2021",3988
"574","2021",4004
"575","2021",4251
"576","2021",6426
"577","2021",6478
"578","2021",6606
"579","2021",2284101
"580","2021",2490149
"581","2021",2528210
"582","2021",2528426
"583","2021",2528794
"584","2021",2595516
"585","2021",2968436
"586","2021",2990984
"587","2021",2991230
"588","2021",3064440
"589","2021",3074752
"590","2021",3133601
"591","2021",3157465
"592","2021",3908809
"593","2021",3917376
"594","2021",3945274
"595","2021",4065648
"596","2021",4066421
"597","2021",4277843
"598","2021",4395651
"599","2021",4397136
"600","2021",4594268
"601","2022",3449
"602","2022",3593
"603","2022",3975
"604","2022",4004
"605","2022",6443
"606","2022",6588
"607","2022",2284101
"608","2022",2490149
"609","2022",2528426
"610","2022",2990984
"611","2022",2991230
"612","2022",3064440
"613","2022",3074752
"614","2022",3133601
"615","2022",3133603
"616","2022",3136193
"617","2022",3136776
"618","2022",3157465
"619","2022",3907822
"620","2022",3908809
"621","2022",3945274
"622","2022",4065648
"623","2022",4066320
"624","2022",4066383
"625","2022",4277843
"626","2022",4277905
"627","2022",4277956
"628","2022",4397136
"629","2022",4432816
"630","2022",4594268
"631","2023",3975
"632","2023",6442
"633","2023",6475
"634","2023",6606
"635","2023",2490149
"636","2023",2528210
"637","2023",2580782
"638","2023",2990984
"639","2023",2991230
"640","2023",3064440
"641","2023",3064514
"642","2023",3074752
"643","2023",3134907
"644","2023",3136776
"645","2023",3907822
"646","2023",3908809
"647","2023",3917376
"648","2023",3945274
"649","2023",4065648
"650","2023",4065778
"651","2023",4066336
"652","2023",4066372
"653","2023",4277905
"654","2023",4277956
"655","2023",4351851
"656","2023",4395725
"657","2023",4397688
"658","2023",4437244
"659","2023",4594268
"660","2023",4594327
"661","2024",3975
"662","2024",3992
"663","2024",4251
"664","2024",6475
"665","2024",6606
"666","2024",2490149
"667","2024",2528210
"668","2024",2990984
"669","2024",2991230
"670","2024",3037789
"671","2024",3078576
"672","2024",3136776
"673","2024",3147657
"674","2024",3907497
"675","2024",3907822
"676","2024",3908809
"677","2024",3934672
"678","2024",3934673
"679","2024",3945274
"680","2024",4065648
"681","2024",4066259
"682","2024",4277956
"683","2024",4278104
"684","2024",4395651
"685","2024",4396993
"686","2024",4431678
"687","2024",4433287
"688","2024",4437244
"689","2024",4594268
"690","2024",4594327
"691","2025",3975
"692","2025",3992
"693","2025",6475
"694","2025",6606
"695","2025",2990984
"696","2025",3064440
"697","2025",3078576
"698","2025",3136193
"699","2025",3157465
"700","2025",3907822
"701","2025",3908809
"702","2025",3945274
"703","2025",4065648
"704","2025",4066354
"705","2025",4066457
"706","2025",4277905
"707","2025",4277956
"708","2025",4278104
"709","2025",4351851
"710","2025",4395651
"711","2025",4395725
"712","2025",4396907
"713","2025",4396993
"714","2025",4431678
"715","2025",4432816
"716","2025",4433627
"717","2025",4437244
"718","2025",4592479
"719","2025",4594268
"720","2025",4914336
